
2025/04/28 (09:33:31) | ===> btop++ v.1.3.0
2025/04/28 (09:33:31) | WARNING: Failed to join _runner thread on exit!

2025/04/29 (11:53:32) | ===> btop++ v.1.3.0
2025/04/29 (11:53:32) | WARNING: Failed to join _runner thread on exit!

2025/04/30 (06:58:47) | ===> btop++ v.1.3.0
2025/04/30 (06:58:47) | WARNING: Failed to join _runner thread on exit!

2025/05/02 (20:46:04) | ===> btop++ v.1.3.0
2025/05/02 (20:46:04) | WARNING: Failed to join _runner thread on exit!

2025/05/21 (21:21:27) | ===> btop++ v.1.3.0
2025/05/21 (21:21:27) | WARNING: Failed to join _runner thread on exit!

2025/05/21 (21:39:00) | ===> btop++ v.1.3.0
2025/05/21 (21:39:00) | WARNING: Failed to join _runner thread on exit!

2025/05/22 (06:56:33) | ===> btop++ v.1.3.0
2025/05/22 (06:56:33) | WARNING: Failed to join _runner thread on exit!

2025/05/22 (21:05:50) | ===> btop++ v.1.3.0
2025/05/22 (21:05:50) | WARNING: Failed to join _runner thread on exit!

2025/05/23 (07:37:17) | ===> btop++ v.1.3.0
2025/05/23 (07:37:17) | WARNING: Failed to join _runner thread on exit!
